[-0.74907982 -0.31718153 -0.36681694  0.45135422],[-0.85184987  0.04564627  0.09935121  0.51224755],[-0.05643728  0.07854595  0.18028576  0.97884749],[ 0.28015194  0.76487922 -0.30114595 -0.49576788],[ 0.29785671 -0.01988188  0.06356474 -0.95228442],[-2.01060756e-01  3.03645049e-08 -5.88352152e-08  9.79578773e-01],[ 0.00162794 -0.01078594  0.14923577  0.98874147],[ 0.34593181  0.02320632  0.39776861 -0.8494544 ],[ 0.10959582 -0.01004401  0.09070992 -0.98977754],[-7.34693010e-02  1.09484476e-08 -5.44556407e-08  9.97297479e-01],[-1.24103241e-08 -1.35698474e-08  6.63445240e-09  1.00000000e+00],[ 6.75438349e-04 -2.70928346e-02  1.31608617e-01 -9.90931226e-01],[ 0.41375761  0.03830085 -0.08384009 -0.90570885],[-2.82757417e-01 -7.64754362e-09  1.25185243e-08  9.59191453e-01],[-0.02281756  0.02156309 -0.14976099  0.98822368],[ 0.49464374 -0.10303029  0.03408596 -0.86229373],[ 0.77866847 -0.0063853   0.00514478 -0.627382  ],[-5.68313983e-01  2.17390401e-07 -1.82551213e-07  8.22811775e-01],[-0.04721578  0.04159609 -0.29730419  0.95270701],[ 0.6268936  -0.1259965  -0.12284155 -0.7589725 ],[ 0.63477903 -0.01955589  0.02378591 -0.77207991],[-4.46570628e-01  1.17169165e-07 -1.23474046e-07  8.94748386e-01]
[-0.74910505 -0.31714012 -0.36681925  0.45133957],[-0.85160165  0.0459467   0.09985504  0.51253536],[-0.05635707  0.07850846  0.18025065  0.97886159],[ 0.27981187  0.76481442 -0.30083644 -0.49624757],[ 0.29777606 -0.01966015  0.06287775 -0.95235985],[-2.00995263e-01  1.99560972e-08 -8.15761466e-08  9.79592213e-01],[ 0.00162797 -0.01078592  0.14923577  0.98874147],[ 0.34466477  0.0247428   0.39948399 -0.84912104],[ 0.11095565 -0.01000082  0.08921159 -0.98976266],[-7.43732680e-02  7.00307349e-09 -4.20025589e-09  9.97230473e-01],[0. 0. 0. 1.],[ 6.76992616e-04 -2.72537162e-02  1.32892842e-01 -9.90755403e-01],[ 0.41396751  0.03868461 -0.08461962 -0.90552411],[-2.82931154e-01  1.90156555e-08  1.41242147e-09  9.59140220e-01],[-0.02281756  0.02156313 -0.14976101  0.98822367],[ 0.4961566  -0.10297902  0.03437347 -0.86141884],[ 0.77780573 -0.00623868  0.00504086 -0.62845359],[-5.67521773e-01  6.38906070e-07 -5.06590520e-07  8.23358389e-01],[-0.04721579  0.04159609 -0.29730415  0.95270703],[ 0.62967539 -0.12554854 -0.12204117 -0.75687015],[ 0.63217816 -0.01891926  0.02317113 -0.77424539],[-4.44493177e-01 -1.47442379e-08  3.57910432e-08  8.95782237e-01]
[-0.74913056 -0.3170977  -0.3668166   0.45132918],[-0.85132448  0.04607899  0.10070635  0.51281731],[-0.05648034  0.07850125  0.1802578   0.97885374],[ 0.27936813  0.76473558 -0.30073736 -0.49667895],[ 0.29786668 -0.01967002  0.0628886  -0.95233059],[-2.01057922e-01  4.29430124e-08 -4.48561225e-08  9.79579355e-01],[ 0.00162797 -0.01078592  0.14923578  0.98874147],[ 0.34511493  0.02217477  0.39458342 -0.85129777],[ 0.11055946 -0.01048389  0.09381969 -0.98937584],[-7.41389292e-02 -1.20678622e-08  3.49723873e-08  9.97247923e-01],[-6.61581763e-09 -9.12466602e-09  4.36311457e-09  1.00000000e+00],[ 0.00128342 -0.02747947  0.13002725 -0.99112872],[ 0.41367951  0.03772604 -0.08261292 -0.9058814 ],[-2.82664863e-01 -4.16177027e-08 -1.80634172e-10  9.59218732e-01],[-0.02281757  0.02156308 -0.14976099  0.98822368],[ 0.49495838 -0.10555712  0.03036449 -0.86194657],[ 0.77811969 -0.00947795  0.00764962 -0.62799793],[-5.67839681e-01  4.86454984e-07 -4.17501186e-07  8.23139172e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.62911309 -0.12707073 -0.1241695  -0.75673753],[ 0.63229805 -0.02028442  0.02483241 -0.77406141],[-4.44621642e-01  1.22870955e-07 -1.47918397e-07  8.95718480e-01]
[-0.74916838 -0.31703973 -0.36685183  0.45127849],[-0.85086861  0.04646587  0.10126066  0.51342947],[-0.05668748  0.07868384  0.1805138   0.97877993],[ 0.28394497  0.76481094 -0.30006903 -0.49436631],[ 0.29462577 -0.02041007  0.06602633 -0.95311049],[-1.98869072e-01  1.04854956e-08 -7.35924475e-08  9.80026067e-01],[ 0.00162795 -0.01078593  0.14923577  0.98874147],[ 0.34625488  0.02213803  0.3971649  -0.84963375],[ 0.10935941 -0.01013686  0.09173884 -0.98970791],[-7.33174046e-02 -8.98006134e-09 -2.26415983e-08  9.97308657e-01],[-1.24512667e-08 -1.33108609e-08  6.42094100e-09  1.00000000e+00],[-2.72531644e-04 -2.71575339e-02  1.30966634e-01 -9.91014700e-01],[ 0.41495902  0.0381336  -0.08318758 -0.90522631],[-2.83596543e-01 -4.77186345e-08  2.79747518e-08  9.58943690e-01],[-0.02281758  0.02156312 -0.14976097  0.98822368],[ 0.49526434 -0.10520272  0.03146488 -0.86177467],[ 0.77808143 -0.00837015  0.00675655 -0.62807132],[-5.67792847e-01  4.58795128e-07 -3.94206515e-07  8.23171479e-01],[-0.04721579  0.04159606 -0.29730416  0.95270702],[ 0.62689422 -0.12505739 -0.1212262  -0.75938692],[ 0.6346023  -0.01858789  0.02262076 -0.77228408],[-4.46407249e-01  9.98777646e-09 -9.54954944e-09  8.94829910e-01]
[-0.74919058 -0.31700408 -0.36686029  0.45125981],[-0.8505886   0.04652477  0.10199954  0.51374173],[-0.05678537  0.07872104  0.18046049  0.97878109],[ 0.28264435  0.76470557 -0.30066746 -0.49491074],[ 0.29554208 -0.02022011  0.06519376 -0.95288814],[-1.99488427e-01  3.71279593e-09  3.78982172e-08  9.79900182e-01],[ 0.00162797 -0.01078593  0.14923578  0.98874147],[ 0.34563229  0.02281627  0.3982269  -0.84937216],[ 0.10998421 -0.01008937  0.09079351 -0.98972633],[-7.37309577e-02 -2.19598466e-08 -4.76174885e-08  9.97278169e-01],[-6.66916518e-09 -8.71159197e-09  3.94940993e-09  1.00000000e+00],[-0.00166824 -0.02701358  0.13210585 -0.99086605],[ 0.41592019  0.03862464 -0.08401433 -0.90468786],[-2.84308982e-01 -1.36729674e-08  2.87280043e-08  9.58732707e-01],[-0.02281756  0.02156309 -0.14976097  0.98822368],[ 0.49458554 -0.10416335  0.0327437  -0.862243  ],[ 0.77867197 -0.00729406  0.00587682 -0.62736132],[-5.68324687e-01  9.25050024e-08 -9.23463879e-08  8.22804381e-01],[-0.04721577  0.04159606 -0.29730417  0.95270702],[ 0.62732942 -0.12458573 -0.12069277 -0.75918999],[ 0.63412213 -0.01830022  0.02229938 -0.77269461],[-4.46019674e-01  1.43994084e-07 -1.88528970e-07  8.95023156e-01]
[-0.74921424 -0.31697201 -0.36691479  0.45119875],[-0.8501655   0.04642589  0.10259343  0.51433242],[-0.05729482  0.07858092  0.1806116   0.97873479],[ 0.2802087   0.76466611 -0.30102187 -0.49613975],[ 0.29732423 -0.01986578  0.06363787 -0.95244626],[-2.00694639e-01  5.39471071e-09 -1.78514421e-08  9.79653848e-01],[ 0.00162796 -0.01078593  0.14923576  0.98874147],[ 0.3452439   0.02341101  0.39796253 -0.84963781],[ 0.11041615 -0.01014148  0.09089877 -0.98966804],[-7.40221200e-02 -3.20810312e-09 -7.94363200e-08  9.97256600e-01],[-6.58593269e-09 -8.40524500e-09  3.83824600e-09  1.00000000e+00],[-9.13812311e-04 -2.71189201e-02  1.31125361e-01 -9.90994384e-01],[ 0.41524515  0.03826647 -0.08340557 -0.90506942],[-2.83807705e-01 -2.34301063e-08 -4.03590057e-08  9.58881216e-01],[-0.02281756  0.02156308 -0.14976096  0.98822368],[ 0.49392594 -0.10345763  0.03332252 -0.86268378],[ 0.77915874 -0.00675942  0.00543726 -0.62676663],[-5.68767038e-01  1.08918682e-07 -6.01270103e-08  8.22498667e-01],[-0.04721579  0.04159608 -0.29730417  0.95270702],[ 0.6267368  -0.12597584 -0.1227103  -0.75912664],[ 0.63401055 -0.01965608  0.02395593 -0.77270329],[-4.45963383e-01  1.54890921e-07 -1.91844713e-07  8.95051206e-01]
[-0.74930397 -0.3168421  -0.36705916  0.45102353],[-0.84877307  0.04663711  0.10458103  0.51620932],[-0.0578404   0.07839185  0.18048231  0.97874171],[ 0.28309689  0.76461913 -0.29981378 -0.49530337],[ 0.29491887 -0.02018934  0.06524506 -0.95307834],[-1.99059623e-01  5.72649764e-09  7.16102617e-08  9.79987381e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.34700601  0.02074906  0.39323652 -0.8511882 ],[ 0.1094591  -0.01053519  0.09522448 -0.98936344],[-7.34089690e-02  1.65845220e-08  3.35969695e-08  9.97301922e-01],[ 6.58443966e-10 -2.02213322e-08  5.26541744e-09  1.00000000e+00],[ 0.00112901 -0.02721647  0.13041897 -0.9910847 ],[ 0.41432663  0.03789739 -0.08282891 -0.90555872],[-2.83133767e-01 -4.52994713e-08 -4.55479818e-09  9.59080429e-01],[-0.02281755  0.02156309 -0.14976098  0.98822368],[ 0.49644728 -0.10574352  0.03007305 -0.86107724],[ 0.77738269 -0.00920444  0.0074467  -0.62891651],[-5.67161157e-01  3.96572800e-07 -3.14686791e-07  8.23606837e-01],[-0.04721577  0.04159605 -0.29730417  0.95270702],[ 0.62838315 -0.12550738 -0.12244392 -0.75788521],[ 0.6327618  -0.01933195  0.02363935 -0.77374412],[-4.44965490e-01 -8.14385715e-09  2.27778529e-08  8.95547717e-01]
[-0.74935735 -0.31675899 -0.36709978  0.45096016],[-0.84802161  0.0467984   0.10620968  0.51709647],[-0.05798858  0.07863195  0.18045023  0.9787196 ],[ 0.28292426  0.76469157 -0.29956869 -0.49543845],[ 0.29531819 -0.02012801  0.06495159 -0.95297603],[-1.99330522e-01  2.21126014e-08 -7.92186232e-08  9.79932316e-01],[ 0.00162798 -0.01078591  0.14923575  0.98874148],[ 0.34918504  0.02083373  0.39649288 -0.84878099],[ 0.10796681 -0.01001689  0.09183774 -0.98985285],[-7.23819351e-02  2.19954114e-08  3.42941316e-08  9.97376988e-01],[ 5.69230208e-09  5.58971570e-09 -2.94639797e-09  1.00000000e+00],[ 0.00389935 -0.02668568  0.13398608 -0.99061617],[ 0.41287951  0.03889229 -0.08533764 -0.90594447],[-2.82175501e-01 -6.26205365e-08  1.19370256e-08  9.59362802e-01],[-0.02281756  0.02156315 -0.149761    0.98822367],[ 0.4951499  -0.10364559  0.0334819  -0.86195309],[ 0.77864848 -0.00673979  0.00543084 -0.62740069],[-5.68298504e-01 -1.07012747e-07  1.36433240e-07  8.22822466e-01],[-0.04721578  0.04159606 -0.29730419  0.95270702],[ 0.6284818  -0.12492756 -0.12166741 -0.75802426],[ 0.6327409  -0.01894017  0.02316218 -0.77378533],[-4.44939523e-01  1.10392796e-07 -1.19560168e-07  8.95560618e-01]
[-0.74937693 -0.31672208 -0.36706386  0.45098277],[-0.84782437  0.04675604  0.10748337  0.51716055],[-0.05801877  0.07871274  0.18040772  0.97871915],[ 0.28079243  0.76458948 -0.30044433 -0.49627788],[ 0.29722909 -0.01984971  0.06360879 -0.95247823],[-2.00628560e-01 -4.71219633e-09  4.52405692e-08  9.79667383e-01],[ 0.00162797 -0.01078593  0.14923578  0.98874147],[ 0.35084094  0.02091278  0.39749139 -0.84762839],[ 0.10708403 -0.00984754  0.09104515 -0.99002364],[-7.17831445e-02 -2.65013806e-09  1.39305483e-08  9.97420263e-01],[ 8.03716200e-10 -1.89399749e-08  4.65845762e-09  1.00000000e+00],[ 0.00428047 -0.02682928  0.1339334  -0.99061784],[ 0.41302528  0.03871993 -0.08492751 -0.90592395],[-2.82267097e-01 -2.49170917e-08  3.73208844e-08  9.59335857e-01],[-0.02281756  0.02156309 -0.14976096  0.98822368],[ 0.49441561 -0.10386971  0.03245674 -0.86238672],[ 0.77896867 -0.00765968  0.00616538 -0.62698575],[-5.68600159e-01  1.41331019e-07 -9.56021231e-08  8.22614040e-01],[-0.04721576  0.04159606 -0.29730419  0.95270702],[ 0.62864026 -0.12557813 -0.12252923 -0.75764645],[ 0.63235384 -0.01947363  0.02383812 -0.77406792],[-4.44645680e-01 -2.74195604e-08  4.07223406e-09  8.95706548e-01]
[-0.74937693 -0.31672208 -0.36706386  0.45098277],[-0.84782437  0.04675604  0.10748337  0.51716055],[-0.05801877  0.07871274  0.18040772  0.97871915],[ 0.28079243  0.76458948 -0.30044433 -0.49627788],[ 0.29722909 -0.01984971  0.06360879 -0.95247823],[-2.00628560e-01 -4.71219633e-09  4.52405692e-08  9.79667383e-01],[ 0.00162797 -0.01078593  0.14923578  0.98874147],[ 0.35084094  0.02091278  0.39749139 -0.84762839],[ 0.10708403 -0.00984754  0.09104515 -0.99002364],[-7.17831445e-02 -2.65013806e-09  1.39305483e-08  9.97420263e-01],[ 8.03716200e-10 -1.89399749e-08  4.65845762e-09  1.00000000e+00],[ 0.00428047 -0.02682928  0.1339334  -0.99061784],[ 0.41302528  0.03871993 -0.08492751 -0.90592395],[-2.82267097e-01 -2.49170917e-08  3.73208844e-08  9.59335857e-01],[-0.02281756  0.02156309 -0.14976096  0.98822368],[ 0.49441561 -0.10386971  0.03245674 -0.86238672],[ 0.77896867 -0.00765968  0.00616538 -0.62698575],[-5.68600159e-01  1.41331019e-07 -9.56021231e-08  8.22614040e-01],[-0.04721576  0.04159606 -0.29730419  0.95270702],[ 0.62864026 -0.12557813 -0.12252923 -0.75764645],[ 0.63235384 -0.01947363  0.02383812 -0.77406792],[-4.44645680e-01 -2.74195604e-08  4.07223406e-09  8.95706548e-01]
[-0.74944408 -0.31661362 -0.36708354  0.45093133],[-0.84692701  0.04703264  0.10978058  0.51812238],[-0.0585897   0.07833002  0.18007204  0.97877766],[ 0.28408917  0.76439567 -0.29996633 -0.49498769],[ 0.29479428 -0.02053999  0.06640309 -0.95302942],[-1.98990733e-01 -2.81210421e-10 -5.55306384e-08  9.80001372e-01],[ 0.00162797 -0.01078591  0.14923577  0.98874147],[ 0.34845272  0.0221145   0.3955136  -0.84950612],[ 0.10979291 -0.01027986  0.09265398 -0.98957318],[-7.36152884e-02  5.27323660e-09  1.62400530e-08  9.97286714e-01],[ 5.90575677e-09  6.41420073e-09 -3.22469700e-09  1.00000000e+00],[ 0.00371302 -0.02683052  0.13111592 -0.99099695],[ 0.41410362  0.03761917 -0.08228011 -0.90572235],[-2.82957986e-01 -4.93635168e-08  2.77194140e-08  9.59132305e-01],[-0.02281755  0.02156316 -0.149761    0.98822368],[ 0.49518471 -0.10476823  0.03049429 -0.86190825],[ 0.77834386 -0.0085642   0.00690729 -0.62774181],[-5.68035522e-01  5.41575680e-10  1.23035516e-08  8.23004037e-01],[-0.04721577  0.04159611 -0.29730419  0.95270701],[ 0.6273022  -0.12458158 -0.12199233 -0.75900543],[ 0.63351884 -0.01862552  0.02273137 -0.77316897],[-4.45548779e-01  9.70633913e-08 -1.32023248e-07  8.95257664e-01]
[-0.74945239 -0.31660034 -0.36708685  0.45092415],[-0.84680311  0.04702085  0.11013321  0.51825111],[-0.0585334   0.07834825  0.18005035  0.97878356],[ 0.28441205  0.76464546 -0.29941645 -0.49474934],[ 0.29432447 -0.02046733  0.06628392 -0.95318447],[-1.98665161e-01 -2.05163095e-08  3.77508109e-08  9.80067423e-01],[ 0.00162798 -0.01078592  0.14923578  0.98874147],[ 0.34712185  0.02259514  0.39456767 -0.85047765],[ 0.1110665  -0.01049545  0.09349238 -0.98934991],[-7.44775971e-02  1.19070270e-08  4.01506655e-08  9.97222687e-01],[ 5.89496829e-09  6.49451922e-09 -3.25326127e-09  1.00000000e+00],[ 0.00397311 -0.02693472  0.13091554 -0.9910196 ],[ 0.41397066  0.0375785  -0.08222353 -0.90578996],[-2.82861321e-01 -4.06666687e-09  5.83245070e-08  9.59160817e-01],[-0.02281756  0.02156313 -0.14976098  0.98822368],[ 0.49383092 -0.10395826  0.03115433 -0.86275901],[ 0.77934226 -0.00797604  0.00641211 -0.62651489],[-5.68946101e-01  2.01672946e-07 -1.66090797e-07  8.22374814e-01],[-0.04721578  0.04159607 -0.29730416  0.95270702],[ 0.62755749 -0.12402453 -0.1212027  -0.75901213],[ 0.63334842 -0.01810975  0.02211284 -0.77333876],[-4.45401747e-01 -1.64998642e-08  2.30247104e-08  8.95330824e-01]
[-0.74951092 -0.31650724 -0.36711626  0.45086828],[-0.8459808   0.04731396  0.11198636  0.51916946],[-0.05826591  0.07833985  0.18015225  0.97878145],[ 0.28055502  0.76448351 -0.30040359 -0.49659998],[ 0.29743932 -0.01988456  0.06367019 -0.95240777],[-2.00774431e-01  1.24897754e-08 -4.81713974e-08  9.79637498e-01],[ 0.00162796 -0.01078593  0.14923577  0.98874147],[ 0.34544075  0.02396791  0.39680449 -0.85008378],[ 0.11225533 -0.01036647  0.09137064 -0.98941532],[-7.52620119e-02  1.72347024e-08 -3.38924444e-08  9.97163793e-01],[-1.24131869e-08 -1.16874700e-08  5.91033267e-09  1.00000000e+00],[ 0.00328353 -0.02727727  0.13082118 -0.99102522],[ 0.41448554  0.03755552 -0.08205151 -0.90557102],[-2.83224149e-01 -3.67999265e-08  2.76686757e-08  9.59053743e-01],[-0.02281756  0.02156309 -0.14976099  0.98822368],[ 0.49322423 -0.10250973  0.03325297 -0.86320093],[ 0.77988107 -0.00640346  0.00513891 -0.62587387],[-5.69427921e-01 -2.30279066e-08  3.20818830e-08  8.22041266e-01],[-0.04721578  0.04159608 -0.29730419  0.95270701],[ 0.62623882 -0.12601765 -0.12373991 -0.7593635 ],[ 0.63409901 -0.01998708  0.02435319 -0.77260979],[-4.46041742e-01 -6.98707415e-08  7.09986615e-08  8.95012159e-01]
[-0.74955447 -0.31643449 -0.36711065  0.45085151],[-0.84545549  0.04774541  0.11331909  0.51969623],[-0.05841695  0.07825606  0.18002311  0.97880291],[ 0.27927213  0.76424753 -0.30088573 -0.49739378],[ 0.29838947 -0.01976212  0.06306044 -0.95215364],[-2.01420857e-01 -3.18759843e-08  3.14235462e-08  9.79504792e-01],[ 0.00162796 -0.01078593  0.14923577  0.98874147],[ 0.34969458  0.02132151  0.39639521 -0.8486047 ],[ 0.10821503 -0.01007628  0.09216435 -0.98979478],[-7.25509976e-02  3.19888569e-08 -3.75264228e-09  9.97364704e-01],[-6.58389165e-09 -4.27290470e-09  2.11055800e-09  1.00000000e+00],[ 0.00534704 -0.02724229  0.13000488 -0.99112461],[ 0.41356852  0.03723867 -0.0815823  -0.90604564],[-2.82555067e-01 -2.38771664e-08 -6.23638887e-09  9.59251080e-01],[-0.02281756  0.02156311 -0.14976099  0.98822368],[ 0.49425242 -0.1030113   0.03206717 -0.86259777],[ 0.77897329 -0.00742026  0.00597253 -0.62698476],[-5.68602328e-01  3.78769419e-07 -2.93447457e-07  8.22612541e-01],[-0.04721578  0.04159608 -0.29730416  0.95270702],[ 0.62676105 -0.12665087 -0.12512578 -0.75859981],[ 0.63324947 -0.02078168  0.02537642 -0.77325239],[-4.45388405e-01  5.72831675e-08 -6.76236329e-08  8.95337461e-01]
[-0.74962431 -0.31631941 -0.3671138   0.45081358],[-0.84443561  0.04787234  0.11631776  0.52067929],[-0.05870856  0.07753126  0.17937866  0.97896144],[ 0.28488179  0.76457058 -0.29869479 -0.49503093],[ 0.29409097 -0.02059421  0.06675105 -0.95322121],[-1.98511173e-01 -3.03627780e-08  1.50621919e-08  9.80098625e-01],[ 0.00162798 -0.01078592  0.14923578  0.98874147],[ 0.34778779  0.02302168  0.39491387 -0.85003335],[ 0.11210113 -0.0104579   0.09229669 -0.98934589],[-7.51648956e-02  3.16602660e-08 -2.01890466e-08  9.97171118e-01],[0. 0. 0. 1.],[ 0.00642645 -0.02691211  0.1317664  -0.99089457],[ 0.41338592  0.03789088 -0.08304115 -0.90596939],[-2.82467861e-01 -1.36693247e-08  3.35064123e-08  9.59276763e-01],[-0.02281755  0.0215631  -0.149761    0.98822368],[ 0.4956078  -0.10233448  0.0317044  -0.8619138 ],[ 0.77805113 -0.00718011  0.00579674 -0.62813318],[-5.67754163e-01  2.94069458e-07 -2.36883230e-07  8.23198160e-01],[-0.04721578  0.04159606 -0.29730417  0.95270702],[ 0.62841008 -0.12193103 -0.11920553 -0.75896221],[ 0.63196623 -0.01680539  0.0205969  -0.77453989],[-4.44278016e-01  7.84516531e-08 -9.68156566e-08  8.95888969e-01]
[-0.74966485 -0.31625087 -0.36710315  0.45080292],[-0.84382824  0.04786101  0.11835963  0.52120459],[-0.05833165  0.07724491  0.1791943   0.97904037],[ 0.28079413  0.76439159 -0.29983534 -0.49694961],[ 0.29759911 -0.02012392  0.06439567 -0.95230405],[-2.00895079e-01  2.23305153e-08 -3.52463087e-08  9.79612764e-01],[ 0.00162798 -0.01078591  0.14923577  0.98874147],[ 0.34975461  0.02270266  0.39621714 -0.84862729],[ 0.11043311 -0.01018562  0.0912776  -0.98963083],[-7.40360700e-02 -7.17011500e-09  1.98818029e-09  9.97255564e-01],[-6.41218800e-09 -2.09770867e-09  1.71403691e-09  1.00000000e+00],[ 0.00846015 -0.02691502  0.13066558 -0.99102498],[ 0.41240847  0.03746664 -0.08235358 -0.90649511],[-2.81749186e-01 -2.11526052e-08 -1.49504068e-08  9.59488091e-01],[-0.02281756  0.02156309 -0.14976097  0.98822368],[ 0.49525178 -0.10115452  0.03395425 -0.86217199],[ 0.77831586 -0.00560291  0.00451963 -0.62783167],[-5.67985042e-01 -2.62000793e-07  2.31225677e-07  8.23038877e-01],[-0.04721578  0.04159606 -0.29730416  0.95270702],[ 0.62755802 -0.12537498 -0.12346165 -0.75842552],[ 0.63141408 -0.01987706  0.02439127 -0.77480722],[-4.43911410e-01 -1.36624226e-08  3.82472586e-08  8.96070678e-01]
